□	□□□	□	□	□
㒒	㒒亻業人	人	人	亻業
㒓	㒓亻達人	人	人	亻達
㒔	㒔亻蜀人	人	人	亻蜀
㒕	㒕亻雍人	人	人	亻雍
㒖	㒖亻萬人	人	人	亻萬
㒗	㒗亻至人	人	人	亻至
㒘	㒘亻竪人	人	人	亻竪
㒙	㒙亻綿人	人	人	亻綿
㒚	㒚亻急人	人	人	亻急
㒛	㒛亻翟人	人	人	亻翟
㒜	㒜亻與人	人	人	亻與
㒝	㒝亻蔑人	人	人	亻蔑
㒞	㒞亻嶲人	人	人	亻嶲
㒟	㒟亻馬人	人	人	亻馬
㒠	㒠亻韭人	人	人	亻韭
㒡	㒡亻系人	人	人	亻系
㒢	㒢亻龠人	人	人	亻龠
㒣	㒣亻應人	人	人	亻應
㒤	㒤亻聶人	人	人	亻聶
㒥	㒥亻豐人	人	人	亻豐
㒦	㒦亻壘人	人	人	亻壘
㒧	㒧亻離人	人	人	亻離
㒨	㒨亻巳人	人	人	亻巳
㒩	㒩亻蠡人	人	人	亻蠡
㒪	㒪人豕人	人	人	人豕
㒫	㒫一儿儿	儿	儿	一儿
㒬	㒬元王儿	儿	儿	元王
㒭	㒭兄兄儿	儿	儿	兄兄
㒮	㒮元豕儿	儿	儿	元豕
㒯	㒯光華儿	儿	儿	光華
㒰	㒰入工入	入	入	入工
㒱	㒱入夕入	入	入	入夕
㒲	㒲入日入	入	入	入日
㒳	㒳冂入入	入	入	冂入
㒴	㒴入出入	入	入	入出
㒵	㒵白八八	八	八	白八
㒶	㒶八白八	八	八	八白
㒷	㒷冂八八	八	八	冂八
㒸	㒸丷豕八	八	八	丷豕
㒹	㒹真真八	八	八	真真
㒺	㒺冂人冂	冂	冂	冂人
㒻	㒻日見冂	冂	冂	日見
㒼	㒼廿入冂	冂	冂	廿入
㒽	㒽日卷冂	冂	冂	日卷
㒾	㒾日施冂	冂	冂	日施
㒿	㒿日離冂	冂	冂	日離
㓀	㓀冖卜冖	冖	冖	冖卜
㓁	㓁冖八冖	冖	冖	冖八
㓂	㓂冖女冖	冖	冖	冖女
㓃	㓃冖乇冖	冖	冖	冖乇
㓄	㓄參冘冖	冖	冖	參冘
㓅	㓅冫丁冫	冫	冫	冫丁
㓆	㓆冫仑冫	冫	冫	冫仑
㓇	㓇冫夭冫	冫	冫	冫夭
㓈	㓈冫石冫	冫	冫	冫石
㓉	㓉冫舌冫	冫	冫	冫舌
㓊	㓊冫同冫	冫	冫	冫同
㓋	㓋冫共冫	冫	冫	冫共
